date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:46:00	58261/58261	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2016%20Aug%202019%2008:48:51%20GMT	https://websmirno.site/voicer/css/fonts/recording.svg?tc8bkk	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/css/fonts/recording5960.svg	(from https://websmirno.site/voicer/css/index.css)
10:46:01	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Aug%202022%2018:54:58%20GMT	https://websmirno.site/voicer/images/bg-hover.png	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/images/bg-hover.png	(from https://websmirno.site/voicer/css/index.css)
10:46:01	3067/3067	---M--	200	added ('OK')	image/gif	date:Mon,%2002%20Sep%202019%2010:58:09%20GMT	https://websmirno.site/voicer/img/ajax-loader.gif	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/ajax-loader.gif	(from https://websmirno.site/voicer/css/index.css)
10:46:02	65232/65232	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:58:38%20GMT	https://websmirno.site/voicer/img/paralax-2.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/paralax-2.jpg	(from https://websmirno.site/voicer/css/index.css)
10:46:02	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Aug%202022%2018:54:58%20GMT	https://websmirno.site/voicer/imdex.html	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/imdex.html	(from https://websmirno.site/voicer/about.html)
10:46:02	20095/20095	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:58:10%20GMT	https://websmirno.site/voicer/img/banner-bg-1.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/banner-bg-1.jpg	(from https://websmirno.site/voicer/about.html)
10:46:03	84403/84403	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:59:07%20GMT	https://websmirno.site/voicer/img/tile-text-1.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/tile-text-1.jpg	(from https://websmirno.site/voicer/equipment.html)
10:46:04	821291/821291	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:59:10%20GMT	https://websmirno.site/voicer/img/white-bg-1.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/white-bg-1.jpg	(from https://websmirno.site/voicer/about.html)
10:46:05	81454/81454	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:59:08%20GMT	https://websmirno.site/voicer/img/tile-text-3.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/tile-text-3.jpg	(from https://websmirno.site/voicer/equipment.html)
10:46:05	79405/79405	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:59:09%20GMT	https://websmirno.site/voicer/img/tile-text-4.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/tile-text-4.jpg	(from https://websmirno.site/voicer/equipment.html)
10:46:05	94672/94672	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:59:08%20GMT	https://websmirno.site/voicer/img/tile-text-2.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/tile-text-2.jpg	(from https://websmirno.site/voicer/equipment.html)
10:46:05	112572/112572	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:59:09%20GMT	https://websmirno.site/voicer/img/tile-text-5.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/tile-text-5.jpg	(from https://websmirno.site/voicer/equipment.html)
10:46:06	2796/2796	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:58:40%20GMT	https://websmirno.site/voicer/img/play-bg.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/play-bg.jpg	(from https://websmirno.site/voicer/projects.html)
10:46:06	17182/17182	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:58:28%20GMT	https://websmirno.site/voicer/img/gallery-8.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/gallery-8.jpg	(from https://websmirno.site/voicer/projects.html)
10:46:30	3067904/3067904	---M--	200	added ('OK')	audio/mpeg	date:Mon,%2002%20Sep%202019%2010:59:59%20GMT	https://websmirno.site/voicer/media/audio/1/01.mp3	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/media/audio/1/01.mp3	(from https://websmirno.site/voicer/projects.html)
10:46:37	5252834/5252834	---M--	200	added ('OK')	audio/mpeg	date:Mon,%2002%20Sep%202019%2011:00:05%20GMT	https://websmirno.site/voicer/media/audio/1/04.mp3	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/media/audio/1/04.mp3	(from https://websmirno.site/voicer/projects.html)
